RecordId,OrganizationID,Name,External Field Name,Internal Field Name,Entity,Mapping Type,Template Type,Engage Field Type,External Option Value,Internal Option DisplayName,Internal Option Value,Parent Record Type,Record Type
ae417cce-18f7-e911-a811-000d3a4ed7ce,,CommonAppDefaultApplicationDefinitionVersion,,,,,,,,,,,
b0417cce-18f7-e911-a811-000d3a4ed7ce,,CommonAppDefaultApplicationPeriod,,,,,,,,,,,
b2417cce-18f7-e911-a811-000d3a4ed7ce,,CommonAppDefaultApplicationStatus,,,,,,,,,175490001,,
b4417cce-18f7-e911-a811-000d3a4ed7ce,,CommonAppDefaultApplicationSubmitted,,,,,,,,,TRUE,,
b6417cce-18f7-e911-a811-000d3a4ed7ce,,CommonAppDefaultEducationLevel,,,,,,,,,,,
b8417cce-18f7-e911-a811-000d3a4ed7ce,,CommonAppDefaultExperienceType,,,,,,,,,175490005,,
ba417cce-18f7-e911-a811-000d3a4ed7ce,,CommonAppDefaultOrganization,,,,,,,,,,,
bc417cce-18f7-e911-a811-000d3a4ed7ce,,CommonAppDefaultProgram,,,,,,,,,,,
be417cce-18f7-e911-a811-000d3a4ed7ce,,CommonAppDefaultRegistrationStatus,,,,,,,,,175490001,,
c0417cce-18f7-e911-a811-000d3a4ed7ce,,CommonAppDefaultSourceCategory,,,,,,,,,,,
c2417cce-18f7-e911-a811-000d3a4ed7ce,,CommonAppDefaultSourceMethod,,,,,,,,,,,
c4417cce-18f7-e911-a811-000d3a4ed7ce,,CommonAppDefaultSourceOfRecord,,,,,,,,,175490002,,
c6417cce-18f7-e911-a811-000d3a4ed7ce,,CommonAppDefaultTestSource,,,,,,,,,494280003,,
c8417cce-18f7-e911-a811-000d3a4ed7ce,,PrimaryMailType,,,,,,,,,494280000,,
fdd5aff3-9bf6-e911-a811-000d3a4e6589,,CommonApp-Activity type-Academic,,cmc_activitytype,mshied_extracurricularparticipant,175490000,CommonApp,,Acad,Academic,175490000,,
ffd5aff3-9bf6-e911-a811-000d3a4e6589,,CommonApp-Activity type-Art,,cmc_activitytype,mshied_extracurricularparticipant,175490000,CommonApp,,ART,Art,175490001,,
01d6aff3-9bf6-e911-a811-000d3a4e6589,,CommonApp-Activity type-Athletics: Club,,cmc_activitytype,mshied_extracurricularparticipant,175490000,CommonApp,,Athletics_Club,Athletics: Club,175490002,,
03d6aff3-9bf6-e911-a811-000d3a4e6589,,CommonApp-Activity type-Athletics: JV/Varsity,,cmc_activitytype,mshied_extracurricularparticipant,175490000,CommonApp,,Athletics_Varsity,Athletics: JV/Varsity,175490003,,
05d6aff3-9bf6-e911-a811-000d3a4e6589,,CommonApp-Activity type-Career Oriented,,cmc_activitytype,mshied_extracurricularparticipant,175490000,CommonApp,,Career,Career Oriented,175490004,,
07d6aff3-9bf6-e911-a811-000d3a4e6589,,CommonApp-Activity type-Community Service (Volunteer),,cmc_activitytype,mshied_extracurricularparticipant,175490000,CommonApp,,Volunteer,Community Service (Volunteer),175490005,,
09d6aff3-9bf6-e911-a811-000d3a4e6589,,CommonApp-Activity type-Computer/Technology,,cmc_activitytype,mshied_extracurricularparticipant,175490000,CommonApp,,Computer,Computer/Technology,175490006,,
0bd6aff3-9bf6-e911-a811-000d3a4e6589,,CommonApp-Activity type-Cultural,,cmc_activitytype,mshied_extracurricularparticipant,175490000,CommonApp,,Cultural,Cultural,175490007,,
0dd6aff3-9bf6-e911-a811-000d3a4e6589,,CommonApp-Activity type-Dance,,cmc_activitytype,mshied_extracurricularparticipant,175490000,CommonApp,,Dance,Dance,175490008,,
0fd6aff3-9bf6-e911-a811-000d3a4e6589,,CommonApp-Activity type-Debate/Speech,,cmc_activitytype,mshied_extracurricularparticipant,175490000,CommonApp,,Debate,Debate/Speech,175490009,,
