entity Name,displayname,id,field Name,value
cmc_todocategories,To Do Category,b6b54f55-bab5-e711-a94e-000d3a14b26e,cmc_todocategoryid,b6b54f55-bab5-e711-a94e-000d3a14b26e
cmc_todocategories,To Do Category,b6b54f55-bab5-e711-a94e-000d3a14b26e,cmc_todocategoryname,Social
cmc_todocategories,To Do Category,7bf524ca-f681-e711-8100-5065f38b0191,cmc_todocategoryid,7bf524ca-f681-e711-8100-5065f38b0191
cmc_todocategories,To Do Category,7bf524ca-f681-e711-8100-5065f38b0191,cmc_todocategoryname,Financial Aid
cmc_todocategories,To Do Category,757b26d3-f681-e711-8100-5065f38b0191,cmc_todocategoryid,757b26d3-f681-e711-8100-5065f38b0191
cmc_todocategories,To Do Category,757b26d3-f681-e711-8100-5065f38b0191,cmc_todocategoryname,Academic
cmc_todocategories,To Do Category,e5e6709f-f881-e711-8100-5065f38b0191,cmc_todocategoryid,e5e6709f-f881-e711-8100-5065f38b0191
cmc_todocategories,To Do Category,e5e6709f-f881-e711-8100-5065f38b0191,cmc_todocategoryname,Events
cmc_todocategories,To Do Category,e7e6709f-f881-e711-8100-5065f38b0191,cmc_todocategoryid,e7e6709f-f881-e711-8100-5065f38b0191
cmc_todocategories,To Do Category,e7e6709f-f881-e711-8100-5065f38b0191,cmc_todocategoryname,Workshops
cmc_todocategories,To Do Category,d085c9bc-f881-e711-8100-5065f38b0191,cmc_todocategoryid,d085c9bc-f881-e711-8100-5065f38b0191
cmc_todocategories,To Do Category,d085c9bc-f881-e711-8100-5065f38b0191,cmc_todocategoryname,Courses
cmc_todocategories,To Do Category,d185c9bc-f881-e711-8100-5065f38b0191,cmc_todocategoryid,d185c9bc-f881-e711-8100-5065f38b0191
cmc_todocategories,To Do Category,d185c9bc-f881-e711-8100-5065f38b0191,cmc_todocategoryname,Enrollment
cmc_languagevalues,Language Value,fdb78b15-4031-e811-a966-000d3a11e605,cmc_keyname,Invalid_Run_Assignment_For
cmc_languagevalues,Language Value,fdb78b15-4031-e811-a966-000d3a11e605,cmc_languagecode,1033
cmc_languagevalues,Language Value,fdb78b15-4031-e811-a966-000d3a11e605,cmc_languagevalueid,fdb78b15-4031-e811-a966-000d3a11e605
cmc_languagevalues,Language Value,fdb78b15-4031-e811-a966-000d3a11e605,cmc_value,{0} is not a valid Run Assignment For Entity value for a {1} Marketing List.
cmc_languagevalues,Language Value,6a01841b-4031-e811-a966-000d3a11e605,cmc_keyname,(null)
cmc_languagevalues,Language Value,6a01841b-4031-e811-a966-000d3a11e605,cmc_languagecode,1033
cmc_languagevalues,Language Value,6a01841b-4031-e811-a966-000d3a11e605,cmc_languagevalueid,6a01841b-4031-e811-a966-000d3a11e605
cmc_languagevalues,Language Value,6a01841b-4031-e811-a966-000d3a11e605,cmc_value,(null)
cmc_languagevalues,Language Value,a8cd2732-4331-e811-a966-000d3a11e605,cmc_keyname,Cannot_Change_Run_Assignment_For_Entity
cmc_languagevalues,Language Value,a8cd2732-4331-e811-a966-000d3a11e605,cmc_languagecode,1033
cmc_languagevalues,Language Value,a8cd2732-4331-e811-a966-000d3a11e605,cmc_languagevalueid,a8cd2732-4331-e811-a966-000d3a11e605
cmc_languagevalues,Language Value,a8cd2732-4331-e811-a966-000d3a11e605,cmc_value,Run Assignment For Entity cannot be changed while DOM Definition Execution Order or DOM Definition records exist for this DOM Master.
cmc_languagevalues,Language Value,484a60f2-7522-e811-a95d-000d3a11ec14,cmc_keyname,Invalid_Format_Execution_Order_Attribute
cmc_languagevalues,Language Value,484a60f2-7522-e811-a95d-000d3a11ec14,cmc_languagecode,1033
cmc_languagevalues,Language Value,484a60f2-7522-e811-a95d-000d3a11ec14,cmc_languagevalueid,484a60f2-7522-e811-a95d-000d3a11ec14
cmc_languagevalues,Language Value,484a60f2-7522-e811-a95d-000d3a11ec14,cmc_value,Attribute must be formatted as [entity schema name].[relationship schema name or attribute schema name].[relationship schema name or attribute schema name]...[relationship schema name].[attribute schema name]
cmc_languagevalues,Language Value,9e63b710-7622-e811-a95d-000d3a11ec14,cmc_keyname,Invalid_Entity_Name_Execution_Order_Attribute
cmc_languagevalues,Language Value,9e63b710-7622-e811-a95d-000d3a11ec14,cmc_languagecode,1033
cmc_languagevalues,Language Value,9e63b710-7622-e811-a95d-000d3a11ec14,cmc_languagevalueid,9e63b710-7622-e811-a95d-000d3a11ec14
cmc_languagevalues,Language Value,9e63b710-7622-e811-a95d-000d3a11ec14,cmc_value,The Entity Name specified in Attribute must be {0}.
cmc_languagevalues,Language Value,3f685f36-7622-e811-a95d-000d3a11ec14,cmc_keyname,Invalid_Attribute_Execution_Order_Attribute
cmc_languagevalues,Language Value,3f685f36-7622-e811-a95d-000d3a11ec14,cmc_languagecode,1033
cmc_languagevalues,Language Value,3f685f36-7622-e811-a95d-000d3a11ec14,cmc_languagevalueid,3f685f36-7622-e811-a95d-000d3a11ec14
cmc_languagevalues,Language Value,3f685f36-7622-e811-a95d-000d3a11ec14,cmc_value,{0} does not exist on {1}. Please enter another attribute name.
cmc_languagevalues,Language Value,5eb030da-c720-e811-a95f-000d3a11f5ee,cmc_keyname,Missing_Other_User_Lookup
cmc_languagevalues,Language Value,5eb030da-c720-e811-a95f-000d3a11f5ee,cmc_languagecode,1033
cmc_languagevalues,Language Value,5eb030da-c720-e811-a95f-000d3a11f5ee,cmc_languagevalueid,5eb030da-c720-e811-a95f-000d3a11f5ee
cmc_languagevalues,Language Value,5eb030da-c720-e811-a95f-000d3a11f5ee,cmc_value,Other User Lookup must be entered if Attribute Name To Be Assigned is set to Other User Lookup.
cmc_languagevalues,Language Value,b8591bf2-c720-e811-a95f-000d3a11f5ee,cmc_keyname,Invalid_Other_User_Lookup
cmc_languagevalues,Language Value,b8591bf2-c720-e811-a95f-000d3a11f5ee,cmc_languagecode,1033
